Año Reporte;Nivel Formacion;Tipo de oferta;Codigo Programa;Programa de Formación;Red Tecnológica;Tasa Vinculación Laboral;Tasa Contrato de Aprendizaje;Tasa Demanda Social
2025;Técnico;Cerrada;838318;MANTENIMIENTO DE MOTOCICLETAS Y MOTOCARROS.;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,892857143;0,339285714;0,197587573
2025;Técnico;Cerrada;228117;PROGRAMACION PARA ANALITICA DE DATOS;Tecnologias_de_la_informacion__diseno_y_desarrollo_de_software;0,430693834;0,313344679;0,207666705
2025;Técnico;Cerrada;137136;INTEGRACION DE OPERACIONES LOGISTICAS;Logistica_y_transporte;0,540909091;0,831818182;0,235418973
2025;Técnico;Cerrada;231202;MEDICIONES FISICAS;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnico;Cerrada;831102;OPERACION EN TORNO Y FRESADORA;Tecnologias__de_produccion_industrial;0,631256891;0,356499566;0,257632337
2025;Técnico;Cerrada;837101;MECANICA DE MAQUINARIA INDUSTRIAL;Tecnologias_de_mantenimiento_predictivo_preventivo_y__correctivo;0,717171717;0,628787879;0,238718143
2025;Técnico;Cerrada;224503;MANTENIMIENTO DE AUTOMATISMOS INDUSTRIALES;Tecnologias_de_la_informacion_y_las_comunicaciones;0,5;1;0,209981676
2025;Técnico;Cerrada;225220;DIBUJO MECANICO;Materiales_para_la_construccion;0,48063669;0,085679914;0,264671149
2025;Técnico;Cerrada;224503;INSTALACION Y MANTENIMIENTO DE REDES INALAMBRICAS;Tecnologias_de_la_informacion_y_las_comunicaciones;0,5;1;0,209981676
2025;Técnico;Cerrada;834258;SOLDADURA DE PRODUCTOS METALICOS EN PLATINA;Tecnologias__de_produccion_industrial;0,806372549;0,330065359;0,242324562
2025;Técnico;Cerrada;836135;CONSTRUCCIONES LIVIANAS INDUSTRIALIZADAS EN SECO;Materiales_para_la_construccion;0,418831169;0;0,347078056
2025;Técnico;Cerrada;842200;ELABORACION DE PRENDAS DE VESTIR SOBRE MEDIDAS;Diseno_de_modas_y_confecciones;0,229166667;0,083333333;0,308735285
2025;Técnico;Cerrada;224501;IMPLEMENTACION Y MANTENIMIENTO DE SISTEMAS DE INTERNET DE LAS COSAS;Tecnologias_de_la_informacion_y_las_comunicaciones;1;0,125;0,234445137
